userId,movieId,tag,timestamp,tag_clean,tag_len,datetime
2,60756,funny,1445714994,funny,5,2015-10-24 19:29:54
2,60756,Highly quotable,1445714996,highly quotable,15,2015-10-24 19:29:56
2,60756,will ferrell,1445714992,will ferrell,12,2015-10-24 19:29:52
2,89774,Boxing story,1445715207,boxing story,12,2015-10-24 19:33:27
2,89774,MMA,1445715200,mma,3,2015-10-24 19:33:20
2,89774,Tom Hardy,1445715205,tom hardy,9,2015-10-24 19:33:25
2,106782,drugs,1445715054,drugs,5,2015-10-24 19:30:54
2,106782,Leonardo DiCaprio,1445715051,leonardo dicaprio,17,2015-10-24 19:30:51
2,106782,Martin Scorsese,1445715056,martin scorsese,15,2015-10-24 19:30:56
7,48516,way too long,1169687325,way too long,12,2007-01-25 01:08:45
18,431,Al Pacino,1462138765,al pacino,9,2016-05-01 21:39:25
18,431,gangster,1462138749,gangster,8,2016-05-01 21:39:09
18,431,mafia,1462138755,mafia,5,2016-05-01 21:39:15
18,1221,Al Pacino,1461699306,al pacino,9,2016-04-26 19:35:06
18,1221,Mafia,1461699303,mafia,5,2016-04-26 19:35:03
18,5995,holocaust,1455735472,holocaust,9,2016-02-17 18:57:52
18,5995,true story,1455735479,true story,10,2016-02-17 18:57:59
18,44665,twist ending,1456948283,twist ending,12,2016-03-02 19:51:23
18,52604,Anthony Hopkins,1457650696,anthony hopkins,15,2016-03-10 22:58:16
18,52604,courtroom drama,1457650711,courtroom drama,15,2016-03-10 22:58:31
18,52604,twist ending,1457650682,twist ending,12,2016-03-10 22:58:02
18,88094,britpop,1457444500,britpop,7,2016-03-08 13:41:40
18,88094,indie record label,1457444592,indie record label,18,2016-03-08 13:43:12
18,88094,music,1457444609,music,5,2016-03-08 13:43:29
18,144210,dumpster diving,1455060381,dumpster diving,15,2016-02-09 23:26:21
18,144210,Sustainability,1455060452,sustainability,14,2016-02-09 23:27:32
21,1569,romantic comedy,1419805413,romantic comedy,15,2014-12-28 22:23:33
21,1569,wedding,1419805419,wedding,7,2014-12-28 22:23:39
21,118985,painter,1419805477,painter,7,2014-12-28 22:24:37
21,119141,bloody,1419793962,bloody,6,2014-12-28 19:12:42
49,109487,black hole,1493093306,black hole,10,2017-04-25 04:08:26
49,109487,sci-fi,1493093332,sci-fi,6,2017-04-25 04:08:52
49,109487,time-travel,1493093356,time-travel,11,2017-04-25 04:09:16
62,2,fantasy,1528843929,fantasy,7,2018-06-12 22:52:09
62,2,magic board game,1528843932,magic board game,16,2018-06-12 22:52:12
62,2,Robin Williams,1528843907,robin williams,14,2018-06-12 22:51:47
62,110,beautiful scenery,1528152541,beautiful scenery,17,2018-06-04 22:49:01
62,110,epic,1528152532,epic,4,2018-06-04 22:48:52
62,110,historical,1528152523,historical,10,2018-06-04 22:48:43
62,110,inspirational,1528152527,inspirational,13,2018-06-04 22:48:47
62,110,Medieval,1528152528,medieval,8,2018-06-04 22:48:48
62,110,mel gibson,1528152521,mel gibson,10,2018-06-04 22:48:41
62,110,Oscar (Best Cinematography),1528152539,oscar (best cinematography),27,2018-06-04 22:48:59
62,110,revenge,1528152531,revenge,7,2018-06-04 22:48:51
62,110,sword fight,1528152535,sword fight,11,2018-06-04 22:48:55
62,410,black comedy,1525636607,black comedy,12,2018-05-06 19:56:47
62,410,Christina Ricci,1525636685,christina ricci,15,2018-05-06 19:58:05
62,410,Christopher Lloyd,1525636622,christopher lloyd,17,2018-05-06 19:57:02
62,410,dark comedy,1525636610,dark comedy,11,2018-05-06 19:56:50
62,410,family,1525636708,family,6,2018-05-06 19:58:28
62,410,gothic,1525636609,gothic,6,2018-05-06 19:56:49
62,2023,Al Pacino,1525636728,al pacino,9,2018-05-06 19:58:48
62,2023,Andy Garcia,1525636768,andy garcia,11,2018-05-06 19:59:28
62,2023,Classic,1525636752,classic,7,2018-05-06 19:59:12
62,2023,Francis Ford Coppola,1525636752,francis ford coppola,20,2018-05-06 19:59:12
62,2023,mafia,1525636733,mafia,5,2018-05-06 19:58:53
62,2124,black comedy,1525636847,black comedy,12,2018-05-06 20:00:47
62,2124,Christina Ricci,1525636867,christina ricci,15,2018-05-06 20:01:07
62,2124,Christopher Lloyd,1525636859,christopher lloyd,17,2018-05-06 20:00:59
62,2124,Family,1525636855,family,6,2018-05-06 20:00:55
62,2124,gothic,1525636849,gothic,6,2018-05-06 20:00:49
62,2124,quirky,1525636846,quirky,6,2018-05-06 20:00:46
62,2953,family,1525636883,family,6,2018-05-06 20:01:23
62,2953,funny,1525636885,funny,5,2018-05-06 20:01:25
62,2953,Macaulay Culkin,1525636890,macaulay culkin,15,2018-05-06 20:01:30
62,2953,sequel,1525636887,sequel,6,2018-05-06 20:01:27
62,3114,animation,1525636903,animation,9,2018-05-06 20:01:43
62,3114,Disney,1525636902,disney,6,2018-05-06 20:01:42
62,3114,funny,1525636913,funny,5,2018-05-06 20:01:53
62,3114,original,1525636917,original,8,2018-05-06 20:01:57
62,3114,Pixar,1525636901,pixar,5,2018-05-06 20:01:41
62,3114,sequel,1525636910,sequel,6,2018-05-06 20:01:50
62,3114,Tom Hanks,1525636925,tom hanks,9,2018-05-06 20:02:05
62,3578,ancient Rome,1528152504,ancient rome,12,2018-06-04 22:48:24
62,3578,Epic,1528152469,epic,4,2018-06-04 22:47:49
62,3578,history,1528152467,history,7,2018-06-04 22:47:47
62,3578,imdb top 250,1528152498,imdb top 250,12,2018-06-04 22:48:18
62,3578,revenge,1528152496,revenge,7,2018-06-04 22:48:16
62,3578,Rome,1528152463,rome,4,2018-06-04 22:47:43
62,3578,Russell Crowe,1528152465,russell crowe,13,2018-06-04 22:47:45
62,4223,Ed Harris,1528024869,ed harris,9,2018-06-03 11:21:09
62,4223,Jude Law,1528024854,jude law,8,2018-06-03 11:20:54
62,4223,Rachel Weisz,1528024873,rachel weisz,12,2018-06-03 11:21:13
62,4223,sniper,1528024852,sniper,6,2018-06-03 11:20:52
62,4223,World War II,1528024877,world war ii,12,2018-06-03 11:21:17
62,5388,Al Pacino,1530310809,al pacino,9,2018-06-29 22:20:09
62,5388,atmospheric,1530310959,atmospheric,11,2018-06-29 22:22:39
62,5388,Hilary Swank,1530310952,hilary swank,12,2018-06-29 22:22:32
62,5388,Robin Williams,1530310811,robin williams,14,2018-06-29 22:20:11
62,6058,sequel,1525555053,sequel,6,2018-05-05 21:17:33
62,6058,violent,1525555051,violent,7,2018-05-05 21:17:31
62,6534,dogs,1525554096,dogs,4,2018-05-05 21:01:36
62,6534,Eric Bana,1525554086,eric bana,9,2018-05-05 21:01:26
62,6534,mad scientist,1525554098,mad scientist,13,2018-05-05 21:01:38
62,6534,marvel,1525554100,marvel,6,2018-05-05 21:01:40
62,6541,captain nemo,1525554054,captain nemo,12,2018-05-05 21:00:54
62,6541,comic book,1525554028,comic book,10,2018-05-05 21:00:28
62,6541,gothic,1525554056,gothic,6,2018-05-05 21:00:56
62,6541,Peta Wilson,1525554040,peta wilson,11,2018-05-05 21:00:40
62,6541,Sean Connery,1525554026,sean connery,12,2018-05-05 21:00:26
62,6541,superhero,1525554051,superhero,9,2018-05-05 21:00:51
62,6564,adventure,1525554439,adventure,9,2018-05-05 21:07:19
62,6564,Angelina Jolie,1525554432,angelina jolie,14,2018-05-05 21:07:12
62,6564,heroine in tight suit,1525554441,heroine in tight suit,21,2018-05-05 21:07:21
62,7153,Adventure,1528152558,adventure,9,2018-06-04 22:49:18
62,7153,ensemble cast,1528152578,ensemble cast,13,2018-06-04 22:49:38
62,7153,fantasy,1528152556,fantasy,7,2018-06-04 22:49:16
62,7153,fantasy world,1528152571,fantasy world,13,2018-06-04 22:49:31
62,7153,great soundtrack,1528152575,great soundtrack,16,2018-06-04 22:49:35
62,7153,lord of the rings,1528152581,lord of the rings,17,2018-06-04 22:49:41
62,7153,scenic,1528152580,scenic,6,2018-06-04 22:49:40
62,7153,stylized,1528152577,stylized,8,2018-06-04 22:49:37
